SECOND;GOLD;GOLD_KALMAN;SILVER;SILVER_KALMAN;BRONZE;BRONZE_KALMAN;
0;4094;4094;2396;2396;1722;1722;
360;4836;4482;2842;2629;2160;1951;
540;4710;4570;2622;2627;1994;1968;
720;4639;4592;2712;2654;1978;1971;
900;4602;4595;2614;2642;1896;1949;
1080;4453;4555;2739;2670;2107;1994;
1260;4141;4440;2325;2574;1888;1964;
1440;4222;4380;2488;2550;1784;1915;
1620;4050;4290;2451;2523;1703;1857;
1800;3995;4210;2437;2500;1536;1770;
1980;4042;4165;2282;2441;1827;1785;
2160;4093;4145;2185;2372;1573;1728;
2340;4095;4132;2323;2359;1653;1708;
2520;3858;4058;2272;2335;1537;1662;
2700;3780;3983;2320;2331;1720;1677;
2880;4038;3998;2259;2312;1686;1680;
3060;3559;3879;2293;2307;1702;1686;
3240;3611;3807;2264;2295;1393;1607;
3420;3776;3798;2083;2238;1502;1578;
3600;3669;3763;2096;2199;1302;1504;
3780;3550;3706;2138;2183;1199;1421;
3960;3549;3663;2191;2185;1621;1475;
4140;3497;3618;2282;2211;1364;1445;
4320;3784;3663;2280;2230;1595;1486;
4500;3908;3729;2419;2281;1478;1484;
4680;3533;3676;2073;2225;1338;1444;
4860;3525;3635;2162;2208;1400;1432;
5040;3500;3599;2050;2165;1317;1401;
5220;3276;3512;2060;2137;1275;1367;
5400;3258;3443;2042;2111;1262;1339;
5580;3334;3414;1927;2061;1329;1336;
5760;3230;3364;2181;2094;1461;1370;
5940;3284;3342;2017;2073;1143;1309;
6120;3196;3303;1963;2043;1438;1344;
6300;3193;3273;2150;2072;1213;1308;
6480;3268;3272;1963;2043;1338;1316;
6660;3108;3228;1927;2011;1229;1293;
6840;3433;3283;1973;2001;1272;1287;
7020;3401;3315;2014;2005;1354;1305;
7200;3068;3248;1966;1994;1288;1301;
7380;3076;3202;1967;1987;1432;1336;
7560;3130;3182;1938;1974;1263;1316;
7740;3182;3182;2193;2033;1248;1298;
7920;3254;3202;1944;2009;1214;1275;
8100;3246;3214;2091;2031;1370;1301;
8280;3290;3234;1994;2021;1228;1281;
8460;3473;3299;2067;2033;1466;1331;
8640;3552;3367;2036;2034;1369;1341;
8820;3491;3401;2041;2036;1341;1341;
9000;3155;3334;2123;2060;1228;1311;
9180;3384;3348;1981;2038;1457;1350;
9360;3344;3347;1891;1999;1393;1362;
9540;3307;3336;2019;2004;1295;1344;
9720;3196;3298;1909;1978;1287;1328;
9900;3400;3326;2037;1994;1316;1325;
10080;3339;3329;2214;2054;1412;1349;
10260;3174;3287;1946;2025;1302;1336;
10440;3160;3253;1822;1970;1428;1361;
10620;3448;3306;1942;1962;1222;1323;
10800;3305;3305;1867;1937;1360;1333;
10980;3342;3315;2067;1972;1342;1336;
11160;3262;3301;2208;2036;1337;1336;
11340;3456;3343;2136;2063;1560;1396;
11520;3178;3298;2065;2063;1206;1345;
11700;3212;3275;2116;2078;1184;1302;
11880;3005;3202;2100;2084;1260;1290;
12060;3103;3175;2038;2071;1151;1253;
12240;3090;3152;2006;2054;1292;1263;
12420;3032;3120;2134;2075;1208;1248;
12600;3020;3093;2225;2116;1228;1243;
12780;2910;3043;2451;2206;1109;1207;
12960;2960;3021;2310;2234;1067;1169;
13140;2861;2978;2266;2243;1010;1126;
13320;2940;2968;2228;2239;985;1088;
13500;2623;2874;2143;2213;1097;1090;
13680;2854;2869;2566;2308;1062;1083;
13860;2730;2831;2535;2370;984;1056;
14040;2641;2780;2679;2453;1198;1094;
14220;2591;2729;2598;2492;977;1063;
14400;2847;2761;2761;2565;1068;1064;
14580;2648;2730;2493;2545;1068;1065;
14760;2638;2705;2498;2533;1054;1062;
14940;2865;2749;2524;2530;983;1041;
15120;2502;2682;2671;2568;1135;1066;
15300;2585;2656;2582;2572;930;1029;
15480;2825;2701;2662;2596;1239;1086;
15660;2690;2698;2488;2567;1076;1083;
15840;2782;2721;2548;2562;1010;1064;
16020;2596;2687;2911;2656;1053;1061;
16200;2535;2646;2672;2660;990;1042;
16380;2303;2553;2924;2732;917;1008;
16560;2479;2533;2778;2744;746;937;
16740;2385;2493;2629;2713;679;867;
16920;2507;2497;2758;2725;817;854;
17100;2270;2436;2842;2757;874;859;
17280;2245;2384;2527;2695;1000;897;
17460;2168;2326;2586;2665;795;870;
17640;2353;2333;2411;2597;752;838;
17820;2277;2318;2377;2537;909;857;
18000;2168;2277;2591;2552;799;841;
18180;2311;2287;2546;2550;782;825;
18360;2087;2233;2420;2515;836;828;
18540;2310;2254;2570;2530;812;824;
18720;2238;2249;2622;2555;870;836;
18900;2384;2286;2469;2532;820;832;
19080;2264;2280;2677;2571;841;834;
19260;2346;2298;2522;2558;828;833;
19440;2177;2265;2663;2586;883;846;
19620;2374;2295;2695;2616;996;887;
19800;2237;2279;2565;2602;843;875;
19980;2195;2256;2473;2567;726;835;
20160;2231;2249;2564;2566;844;837;
20340;2431;2299;2650;2589;969;873;
20520;2286;2295;2464;2555;958;896;
20700;2292;2294;2549;2553;885;893;
20880;2212;2272;2441;2523;820;873;
21060;2442;2318;2351;2477;701;827;
21240;2328;2321;2229;2410;851;833;
21420;2355;2330;2309;2383;748;810;
21600;2420;2354;2383;2383;805;809;
21780;2450;2380;2470;2406;845;819;
21960;2563;2430;2311;2381;790;811;
22140;2412;2425;2349;2372;1033;871;
22320;2321;2397;2398;2379;840;863;
22500;2717;2483;2451;2398;718;823;
22680;2572;2507;2310;2375;754;805;
22860;2385;2474;2359;2370;834;813;
23040;2580;2503;2315;2355;794;808;
23220;2326;2455;2289;2337;864;823;
23400;2727;2529;2192;2298;770;809;
23580;2661;2564;2168;2263;928;841;
23760;2652;2588;2161;2235;735;812;
23940;2623;2597;2234;2235;804;810;
24120;2955;2694;1985;2168;800;807;
24300;2993;2775;2417;2235;932;841;
24480;2851;2795;1992;2169;969;876;
24660;2729;2777;2327;2212;896;881;
24840;3072;2857;2127;2189;765;850;
25020;3019;2901;2218;2197;879;858;
25200;3095;2953;2194;2196;945;881;
25380;3099;2993;2107;2172;968;905;
25560;2960;2984;2197;2179;1027;938;
25740;2929;2969;2359;2227;776;894;
25920;3178;3025;2078;2187;877;889;
26100;2858;2980;2391;2242;795;864;
26280;2940;2969;2274;2251;943;885;
26460;3088;3001;2585;2341;888;886;
26640;3187;3052;2447;2370;994;915;
26820;3232;3100;2312;2354;997;937;
27000;3276;3148;2387;2363;1061;971;
27180;3202;3162;2582;2422;929;959;
27360;3252;3187;2580;2465;931;952;
27540;3286;3213;2642;2513;1052;979;
27720;3529;3299;2844;2602;1201;1039;
