SECOND;GOLD;GOLD_KALMAN;SILVER;SILVER_KALMAN;BRONZE;BRONZE_KALMAN;
0;180;180;45;45;30;30;
180;2350;1317;1171;635;455;253;
240;1953;1561;1173;842;483;341;
300;1959;1691;1000;893;384;355;
360;2021;1790;1004;926;369;359;
420;1846;1806;1042;959;414;375;
480;1891;1829;1163;1016;351;368;
540;1811;1824;1090;1036;466;395;
600;1697;1790;927;1007;355;384;
660;1887;1816;849;964;314;365;
720;1667;1776;1100;1001;348;360;
780;1697;1754;983;996;366;362;
840;1781;1762;939;981;401;373;
900;1872;1791;912;962;358;369;
960;1708;1769;822;924;412;380;
1020;2082;1853;948;931;395;384;
1080;1777;1833;1005;951;295;360;
1140;2050;1891;988;961;365;361;
1200;1831;1875;928;952;371;364;
1260;1665;1818;868;929;458;389;
1320;1902;1841;917;926;319;370;
1380;1813;1833;1023;952;413;382;
1440;1703;1798;909;941;337;370;
1500;1728;1779;912;933;387;374;
1560;1649;1744;952;938;301;355;
1620;1695;1731;846;913;290;337;
1680;1677;1716;917;914;338;337;
1740;1687;1708;867;901;355;342;
1800;1717;1711;805;875;390;355;
1860;1814;1739;873;875;275;333;
1920;1544;1686;923;888;351;338;
1980;1741;1701;900;891;296;327;
2040;1700;1701;787;863;370;338;
2100;1699;1700;879;867;382;350;
2160;1628;1681;949;889;265;327;
2220;1725;1693;854;880;331;328;
2280;1617;1672;864;876;333;330;
2340;1771;1699;804;856;353;336;
2400;1588;1669;949;881;284;322;
2460;1563;1640;780;854;334;325;
2520;1594;1628;904;867;297;318;
2580;1582;1615;808;851;314;317;
2640;1478;1578;1009;894;312;315;
2700;1675;1604;933;905;348;324;
2760;1599;1603;811;879;243;302;
2820;1695;1628;866;876;302;302;
2880;1547;1606;913;886;255;289;
2940;1790;1656;834;872;364;310;
3000;1576;1634;903;880;236;290;
3060;1906;1708;970;904;306;294;
3120;1813;1736;704;850;339;306;
3180;1566;1690;838;847;318;309;
3240;1633;1675;848;847;352;321;
3300;1600;1655;856;850;305;317;
3360;1567;1631;928;871;256;300;
3420;1564;1613;718;830;269;292;
3480;1631;1618;763;812;288;291;
3540;1458;1575;846;821;333;302;
3600;1483;1550;835;825;252;289;
3660;1417;1514;678;785;228;272;
3720;1550;1524;685;758;216;257;
3780;1430;1498;835;779;291;266;
3840;1466;1490;767;776;264;266;
3900;1357;1454;754;770;241;259;
3960;1147;1371;921;811;199;243;
4020;1381;1374;807;810;256;246;
4080;1205;1328;755;795;230;242;
4140;1311;1323;772;789;175;224;
4200;1507;1373;892;817;236;227;
4260;1308;1355;854;827;283;242;
4320;1311;1343;871;839;246;243;
4380;1289;1329;845;840;277;252;
4440;1330;1329;646;788;254;253;
4500;1337;1331;888;815;255;253;
4560;1303;1324;840;822;219;244;
4620;1348;1330;753;803;278;253;
