SECOND;GOLD;GOLD_KALMAN;SILVER;SILVER_KALMAN;BRONZE;BRONZE_KALMAN;
0;144;144;132;132;42;42;
180;2266;1255;1178;680;702;388;
240;2398;1694;1272;907;825;556;
300;2044;1808;857;891;767;625;
360;2192;1923;928;902;683;642;
420;2249;2016;1118;964;728;667;
480;1978;2005;955;961;763;693;
540;2114;2035;1031;980;602;668;
600;2193;2078;1021;991;617;654;
660;2124;2091;1076;1014;672;659;
720;2241;2131;1077;1031;656;658;
780;2301;2177;1164;1067;618;647;
840;2139;2167;1100;1076;661;651;
900;2376;2223;1057;1071;573;630;
960;2153;2204;1115;1083;762;666;
1020;2286;2226;966;1051;684;671;
1080;2037;2175;976;1031;650;665;
1140;1983;2123;866;986;605;649;
1200;2010;2093;1090;1014;624;642;
1260;1945;2053;1018;1015;702;658;
1320;1911;2014;968;1003;659;658;
1380;1795;1955;1026;1009;742;681;
1440;1760;1902;1085;1029;635;669;
1500;1999;1929;939;1005;604;651;
1560;1995;1946;930;985;583;633;
1620;1956;1949;1016;993;539;607;
1680;1871;1928;977;989;734;642;
1740;1760;1883;847;951;578;624;
1800;1838;1871;946;949;559;607;
1860;1704;1826;919;941;432;560;
1920;1599;1764;810;906;514;547;
1980;1669;1739;872;897;525;541;
2040;1580;1696;980;919;512;533;
2100;1831;1732;981;936;505;526;
2160;1598;1696;907;928;592;544;
2220;1645;1682;962;937;625;566;
2280;1674;1680;1004;955;602;575;
2340;1595;1657;817;918;673;602;
2400;1743;1680;938;923;569;593;
2460;1881;1734;972;936;674;615;
2520;1723;1731;891;924;521;589;
2580;1537;1679;943;929;526;572;
2640;1638;1668;863;911;589;577;
2700;1655;1664;832;890;469;548;
2760;1672;1666;840;876;573;555;
2820;1692;1673;927;890;482;535;
2880;1621;1659;809;868;489;523;
2940;1631;1652;989;901;642;555;
3000;1612;1641;839;884;645;579;
3060;1633;1639;756;850;609;587;
3120;1807;1684;869;855;508;566;
3180;1583;1657;871;859;481;543;
3240;1595;1640;923;876;508;533;
3300;1832;1692;864;873;602;552;
3360;1557;1656;964;898;496;537;
3420;1600;1641;924;905;538;537;
3480;1721;1662;789;873;517;532;
3540;1520;1624;751;840;467;514;
3600;1578;1611;796;828;473;503;
3660;1642;1620;913;851;512;506;
3720;1510;1590;858;853;552;518;
3780;1589;1590;747;824;498;513;
3840;1432;1547;696;790;530;517;
3900;1522;1540;1031;855;699;566;
3960;1494;1528;671;805;492;546;
4020;1463;1510;1026;865;521;539;
4080;1443;1492;737;830;589;553;
4140;1693;1546;782;817;490;536;
4200;1516;1538;894;838;463;516;
4260;1386;1497;904;856;511;515;
4320;1522;1504;824;847;566;529;
4380;1427;1483;789;831;495;520;
4440;1523;1494;852;837;421;493;
4500;1551;1509;761;816;447;481;
4560;1492;1505;912;842;507;488;
4620;1498;1503;797;830;588;515;
4680;1631;1537;935;858;493;509;
4740;1541;1538;886;866;520;512;
4800;1526;1535;824;855;508;511;
4860;1468;1517;841;851;530;516;
4920;1648;1552;940;875;453;499;
4980;1454;1526;872;874;503;500;
5040;1451;1506;806;856;406;475;
5100;1554;1519;977;889;494;480;
5160;1420;1492;859;881;571;505;
5220;1596;1520;804;860;568;522;
5280;1419;1493;941;882;550;529;
5340;1758;1564;893;885;529;529;
5400;1445;1532;899;889;425;501;
5460;1482;1519;841;876;593;526;
5520;1540;1524;766;846;542;530;
5580;1492;1516;823;840;563;539;
5640;1636;1548;789;826;527;536;
5700;1343;1493;890;843;487;523;
5760;1500;1495;843;843;501;517;
5820;1502;1497;831;840;516;517;
5880;1541;1509;681;797;544;524;
5940;1424;1486;808;800;460;507;
6000;1672;1536;845;812;537;515;
6060;1469;1518;836;819;427;491;
6120;1670;1559;797;813;498;493;
6180;1614;1574;894;835;478;489;
6240;1515;1558;825;832;572;511;
6300;1639;1580;730;805;492;506;
6360;1542;1570;841;814;444;489;
6420;1624;1584;661;773;516;497;
6480;1340;1518;821;786;465;488;
6540;1583;1536;969;835;523;497;
6600;1750;1594;758;814;509;501;
6660;1437;1551;873;830;565;518;
6720;1609;1567;971;868;499;513;
6780;1512;1552;889;874;565;527;
6840;1609;1567;747;840;588;543;
6900;1582;1571;871;848;481;527;
6960;1514;1556;735;818;593;545;
7020;1590;1565;867;831;498;532;
7080;1433;1529;805;824;478;517;
7140;1383;1490;736;800;422;492;
7200;1394;1464;795;799;465;484;
7260;1482;1469;823;805;433;471;
7320;1439;1461;764;794;442;463;
7380;1288;1414;829;804;500;473;
7440;1461;1427;806;804;483;476;
7500;1545;1459;880;825;468;474;
7560;1439;1453;709;793;540;492;
7620;1456;1454;730;776;532;502;
7680;1417;1444;819;788;461;491;
7740;1519;1464;789;788;484;489;
7800;1419;1452;864;809;593;517;
7860;1435;1447;683;775;410;488;
7920;1606;1490;861;798;451;478;
7980;1400;1466;743;783;468;475;
8040;1350;1435;709;763;504;483;
8100;1296;1397;911;803;541;499;
8160;1575;1445;809;805;488;496;
8220;1477;1454;874;823;478;491;
8280;1397;1438;650;777;522;499;
8340;1250;1388;932;819;442;484;
8400;1629;1453;688;783;522;494;
8460;1285;1407;825;795;466;487;
8520;1483;1428;856;811;454;478;
8580;1450;1434;766;799;576;504;
8640;1616;1483;804;800;520;509;
8700;1342;1445;722;779;417;484;
8760;1418;1438;760;774;512;491;
8820;1497;1454;808;783;360;456;
8880;1549;1479;775;781;452;455;
8940;1637;1522;737;769;495;466;
9000;1310;1465;674;743;468;466;
9060;1374;1440;787;755;522;481;
9120;1248;1388;916;799;449;473;
9180;1360;1381;728;780;477;474;
9240;1384;1382;834;794;459;470;
9300;1341;1371;782;791;506;480;
9360;1566;1423;750;780;560;501;
9420;1441;1428;990;837;490;498;
9480;1478;1442;831;835;416;476;
9540;1478;1451;781;821;434;465;
9600;1250;1397;692;786;539;485;
9660;1388;1395;746;775;476;482;
9720;1647;1463;917;813;404;461;
9780;1352;1433;944;849;412;448;
9840;1286;1393;755;823;469;454;
9900;1546;1434;919;849;445;451;
9960;1526;1459;776;829;557;480;
10020;1427;1450;829;829;608;514;
10080;1607;1493;874;841;497;510;
10140;1416;1472;919;862;390;477;
10200;1496;1479;845;858;439;467;
10260;1393;1455;809;845;491;474;
10320;1460;1457;896;858;450;467;
10380;1408;1444;852;857;437;459;
10440;1579;1480;801;842;517;475;
10500;1325;1438;766;821;425;461;
10560;1484;1451;741;800;564;489;
10620;1599;1491;715;777;459;481;
10680;1499;1493;858;799;633;522;
10740;1266;1432;788;796;482;511;
10800;1461;1440;758;786;447;494;
10860;1386;1425;868;808;500;496;
10920;1353;1406;739;789;405;471;
10980;1352;1391;877;813;492;477;
11040;1358;1382;822;815;431;464;
11100;1433;1396;842;823;434;456;
11160;1440;1408;913;847;470;460;
11220;1336;1388;767;825;539;481;
11280;1512;1422;798;818;598;513;
11340;1447;1429;915;844;494;508;
11400;1222;1373;1036;896;431;487;
11460;1444;1392;761;860;422;469;
11520;1322;1373;798;843;521;483;
11580;1470;1399;706;806;460;477;
11640;1548;1439;755;792;576;504;
11700;1448;1442;913;825;505;504;
11760;1512;1461;732;800;401;476;
11820;1479;1466;819;805;519;488;
11880;1286;1417;754;791;469;483;
11940;1467;1431;894;819;434;470;
12000;1386;1419;837;824;483;473;
12060;1547;1453;746;803;539;491;
12120;1311;1415;742;786;467;484;
12180;1439;1421;848;803;505;490;
12240;1356;1404;837;812;385;462;
12300;1447;1415;808;811;407;447;
12360;1462;1428;729;789;546;474;
12420;1586;1471;793;790;553;495;
12480;1354;1439;790;790;470;488;
12540;1438;1439;828;800;479;486;
12600;1505;1457;699;773;496;489;
12660;1453;1456;866;798;523;498;
12720;1273;1406;732;780;541;510;
12780;1513;1435;842;797;486;503;
12840;1395;1424;781;793;438;486;
12900;1272;1383;770;787;406;464;
12960;1503;1416;815;794;494;472;
13020;1417;1416;738;779;515;484;
13080;1246;1370;909;814;483;484;
13140;1527;1412;757;799;514;492;
13200;1350;1396;786;795;506;496;
13260;1571;1443;836;806;543;508;
13320;1333;1413;766;795;542;517;
13380;1265;1373;733;779;457;501;
13440;1439;1391;742;769;435;483;
13500;1474;1413;698;750;415;465;
13560;1402;1410;826;770;556;489;
13620;1540;1445;742;763;488;489;
13680;1413;1437;800;773;479;486;
